date_time,relative_power,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-01-01 07:00:00,0.0079,0,0,0,0,0,0,1,-9.0,141.17,0,0.12,4.4,69.95,-5.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-14,-13,-5,-13,24,13,52,0.0,1027,-5,10,262,18,2340
2014-01-01 08:00:00,0.1019,0,0,0,0,0,0,4,-9.0,130.24,0,0.12,4.3,74.24,-6.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-14,-12,-5,-12,26,11,49,0.0,1027,-5,10,266,20,2340
2014-01-01 09:00:00,0.3932,0,0,0,0,0,0,4,-10.0,119.14,0,0.12,4.3,73.07,-6.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-14,-11,-4,-11,27,9,46,0.0,1028,-4,10,270,22,2340
2014-01-01 10:00:00,0.5447,0,0,0,0,0,0,4,-10.0,108.2,0,0.12,4.1,72.43,-6.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-14,-10,-4,-10,25,15,46,0.0,1028,-4,10,273,21,2340
2014-01-01 11:00:00,0.5485,0,0,0,0,0,0,1,-10.0,97.73,0,0.12,3.9,72.47,-6.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-14,-10,-3,-10,23,21,45,0.0,1027,-3,10,276,19,2340
2014-01-01 12:00:00,0.3548,15,232,23,15,232,23,1,-9.0,88.0,0,0.12,3.7,68.04,-5.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-13,-9,-3,-9,22,28,44,0.0,1027,-3,10,279,18,2340
2014-01-01 13:00:00,0.1934,47,630,162,47,630,162,1,-9.0,79.4,0,0.12,3.7,64.0,-4.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-13,-9,-3,-9,22,34,45,0.0,1027,-3,10,281,18,2340
2014-01-01 14:00:00,0.1348,62,781,298,62,781,298,0,-10.0,72.39,0,0.12,3.6,58.17,-3.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-13,-9,-3,-9,23,39,46,0.0,1027,-3,10,284,17,2340
2014-01-01 15:00:00,0.0452,69,847,394,69,847,394,0,-10.0,67.49,0,0.12,3.6,52.61,-2.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-13,-8,-3,-8,24,45,47,0.0,1027,-3,10,286,17,2340
2014-01-01 16:00:00,0.0075,135,487,339,73,865,436,4,-10.0,65.21,0,0.12,3.5,52.58,-2.0,1020,-3,-6,0.0,8.7,2,1,06:58 AM,05:05 PM,07:12 AM,04:22 PM,-12,-8,-3,-8,19,51,48,0.0,1027,-3,10,303,13,2340
